"student_id","ma_mon","ma_lop_hoc_phan","loai_hoc_phan","diem_thong_thuong","diem_giua_ky","diem_thuc_hanh_hien_tai","diem_thuc_hanh_tich_hop","diem_thuong_ky_lt_list","diem_giua_ky_lt"
"22713251","420300371101","L01","tich_hop","","","","10","10.0,10.0","10.0"
"23677361","420300371101","L01","tich_hop","","","","10","10.0,9.0","7.0"
"23667351","420300371101","L01","tich_hop","","","","10","10.0,8.0","6.5"
"23640391","420300371101","L01","tich_hop","","","","10","10.0,10.0","9.0"
"23716711","420300371101","L01","tich_hop","","","","10","10.0,10.0","8.0"
"23634031","420300371101","L01","tich_hop","","","","10","10.0,10.0","8.0"
"23631971","420300371101","L01","tich_hop","","","","8.67","10.0,10.0","6.5"
"21012461","420300371101","L01","tich_hop","","","","10","4.0,4.0","5.5"
"23732881","420300371101","L01","tich_hop","","","","10","10.0,10.0","7.5"
"23640661","420300371101","L01","tich_hop","","","","0","0.0,0.0","3.0"
"23650821","420300371101","L01","tich_hop","","","","8.67","10.0,9.0","7.0"
"23646941","420300371101","L01","tich_hop","","","","10","10.0,9.0","7.5"
"23634731","420300371101","L01","tich_hop","","","","10","10.0,9.0","6.5"
"23663871","420300371101","L01","tich_hop","","","","10","10.0,9.0","8.0"
"23674431","420300371101","L01","tich_hop","","","","10","10.0,8.0","7.0"
"23642061","420300371101","L01","tich_hop","","","","10","10.0,9.0","7.5"
"23632591","420300371101","L01","tich_hop","","","","8.67","10.0,10.0","9.0"
"23632141","420300371101","L01","tich_hop","","","","10","10.0,9.0","9.5"
"23635051","420300371101","L01","tich_hop","","","","10","10.0,9.0","9.0"
"23668291","420300371101","L01","tich_hop","","","","10","9.0,9.0","8.5"
"23666491","420300371101","L01","tich_hop","","","","10","10.0,9.0","8.0"
"23670201","420300371101","L01","tich_hop","","","","10","8.0,8.0","8.0"
"23635041","420300371101","L01","tich_hop","","","","10","10.0,9.0","8.5"
"23674141","420300371101","L01","tich_hop","","","","10","10.0,9.0","8.0"
"23637731","420300371101","L01","tich_hop","","","","3.33","0.0,0.0","3.0"
"23660931","420300371101","L01","tich_hop","","","","10","10.0,10.0","8.5"
"21027721","420300371101","L01","tich_hop","","","","10","4.0,6.0","3.0"
"23713631","420300371101","L01","tich_hop","","","","7.67","9.0,10.0","8.0"
"23631351","420300371101","L01","tich_hop","","","","8","10.0,5.0","6.5"
"23655711","420300371101","L01","tich_hop","","","","8.67","10.0,9.0","3.0"
"23636491","420300371101","L01","tich_hop","","","","10","10.0,10.0","7.5"
"22730261","420300371101","L01","tich_hop","","","","10","10.0,10.0","9.5"
"23636861","420300371101","L01","tich_hop","","","","8.67","10.0,6.0","6.0"
"23630761","420300371101","L01","tich_hop","","","","10","10.0,10.0","8.5"
"23698431","420300371101","L01","tich_hop","","","","10","10.0,10.0","6.0"
"23643121","420300371101","L01","tich_hop","","","","8.67","10.0,10.0","8.0"
"23672291","420300371101","L01","tich_hop","","","","10","10.0,9.0","5.5"
"23696981","420300371101","L01","tich_hop","","","","8.67","9.0,9.0","8.0"
"23682371","420300371101","L01","tich_hop","","","","7.67","10.0,10.0","7.0"
"23705311","420300371101","L01","tich_hop","","","","10","10.0,10.0","4.5"
"23714171","420300371101","L01","tich_hop","","","","10","10.0,10.0","6.0"
"23708371","420300371101","L01","tich_hop","","","","8.67","10.0,9.0","5.0"
"23712461","420300371101","L01","tich_hop","","","","10","10.0,9.0","3.0"
"23684241","420300371101","L01","tich_hop","","","","8.67","9.0,10.0","8.5"
"23670311","420300371101","L01","tich_hop","","","","3.33","10.0,10.0","6.0"
"21048011","420300371101","L01","tich_hop","","","","10","7.0,9.0","4.5"
"23643081","420300371101","L01","tich_hop","","","","10","9.0,10.0","9.5"
"23673681","420300371101","L01","tich_hop","","","","10","9.0,10.0","6.5"
"23672111","420300371101","L01","tich_hop","","","","10","10.0,10.0","8.0"
"23676071","420300371101","L01","tich_hop","","","","6.33","10.0,10.0","8.0"
"23673721","420300371101","L01","tich_hop","","","","10","9.0,10.0","8.0"
"23737251","420300371101","L01","tich_hop","","","","10","9.0,10.0","8.5"
"22696801","420300371101","L01","tich_hop","","","","8.67","9.0,10.0","9.5"
"23712311","420300371101","L01","tich_hop","","","","7.67","0.0,10.0","8.0"
