"student_id","ma_mon","ma_lop_hoc_phan","loai_hoc_phan","diem_thong_thuong","diem_giua_ky","diem_thuc_hanh_hien_tai","diem_thuc_hanh_tich_hop","diem_thuong_ky_lt_list","diem_giua_ky_lt"
"SV1001","INT1002","L01","ly_thuyet","3.64,3.64","3.64","","","",""
"SV1001","INT1001","L01","tich_hop","","","","9.04","6,5.54","6"
"SV1002","INT1002","L01","ly_thuyet","9.46,9.46","9.46","","","",""
"SV1002","GDTC101","L01","thuc_hanh","","","8.89,2.37,8.89","","",""
"SV1003","INT1003","L01","tich_hop","","","","1.44","2.28,1.19","2.28"
"SV1003","GDTC101","L01","thuc_hanh","","","8.1,4.4,8.1","","",""
"SV1003","INT1001","L01","tich_hop","","","","3.53","6.44,2.37","6.44"
"SV1004","GDTC101","L01","thuc_hanh","","","5.81,0.57,5.81","","",""
"SV1004","INT1003","L01","tich_hop","","","","9.94","8.35,9.27","8.35"
"SV1005","GDTC101","L01","thuc_hanh","","","8.97,5.53,8.97","","",""
"SV1005","INT1001","L01","tich_hop","","","","1.34","8.61,2.38","8.61"
"SV1005","GDQP102","L01","ly_thuyet","1.33,1.33","1.33","","","",""
"SV1005","INT1002","L01","ly_thuyet","6.66,6.66","6.66","","","",""
"SV1006","INT1002","L01","ly_thuyet","9.62,9.62","9.62","","","",""
"SV1006","INT1001","L01","tich_hop","","","","5.11","3.16,3.24","3.16"
"SV1006","GDTC101","L01","thuc_hanh","","","3.42,5.61,3.42","","",""
"SV1007","GDTC101","L01","thuc_hanh","","","8.03,0.58,8.03","","",""
"SV1007","INT1002","L01","ly_thuyet","3.49,3.49","3.49","","","",""
"SV1008","GDQP102","L01","ly_thuyet","8.7,8.7","8.7","","","",""
"SV1008","INT1003","L01","tich_hop","","","","6.19","0.31,5.38","0.31"
"SV1009","INT1002","L01","ly_thuyet","7.88,7.88","7.88","","","",""
"SV1009","GDQP102","L01","ly_thuyet","8.3,8.3","8.3","","","",""
"SV1009","GDTC101","L01","thuc_hanh","","","4.1,7.58,4.1","","",""
"SV1010","GDTC101","L01","thuc_hanh","","","8.66,7.96,8.66","","",""
"SV1010","GDQP102","L01","ly_thuyet","5.1,5.1","5.1","","","",""
"SV1011","INT1003","L01","tich_hop","","","","6.71","4.1,8.42","4.1"
"SV1011","INT1002","L01","ly_thuyet","3.14,3.14","3.14","","","",""
"SV1011","GDTC101","L01","thuc_hanh","","","8.51,2.95,8.51","","",""
"SV1011","GDQP102","L01","ly_thuyet","3.21,3.21","3.21","","","",""
"SV1012","INT1002","L01","ly_thuyet","5.47,5.47","5.47","","","",""
"SV1012","INT1001","L01","tich_hop","","","","7.24","4.63,8.04","4.63"
"SV1013","INT1002","L01","ly_thuyet","9.47,9.47","9.47","","","",""
"SV1013","GDQP102","L01","ly_thuyet","3.17,3.17","3.17","","","",""
"SV1013","INT1001","L01","tich_hop","","","","6.93","8.18,3.85","8.18"
"SV1013","GDTC101","L01","thuc_hanh","","","9.85,9.84,9.85","","",""
"SV1014","INT1001","L01","tich_hop","","","","4.9","8.19,5.57","8.19"
"SV1014","INT1003","L01","tich_hop","","","","3.14","3.1,4.15","3.1"
"SV1014","INT1002","L01","ly_thuyet","4.93,4.93","4.93","","","",""
"SV1014","GDTC101","L01","thuc_hanh","","","3.63,8.9,3.63","","",""
"SV1015","INT1001","L01","tich_hop","","","","7.2","2.29,5.3","2.29"
"SV1015","GDQP102","L01","ly_thuyet","2.79,2.79","2.79","","","",""
"SV1015","INT1003","L01","tich_hop","","","","1.71","3.39,2.55","3.39"
"SV1016","INT1001","L01","tich_hop","","","","1.94","0.15,4.4","0.15"
"SV1016","INT1002","L01","ly_thuyet","4.45,4.45","4.45","","","",""
"SV1016","INT1003","L01","tich_hop","","","","9.24","0.11,6.36","0.11"
"SV1017","INT1001","L01","tich_hop","","","","1.16","7.25,2.52","7.25"
"SV1017","INT1003","L01","tich_hop","","","","2.48","0.95,6.03","0.95"
"SV1017","INT1002","L01","ly_thuyet","2.24,2.24","2.24","","","",""
"SV1018","GDTC101","L01","thuc_hanh","","","5.77,2.47,5.77","","",""
"SV1018","INT1001","L01","tich_hop","","","","6.1","7.87,3.98","7.87"
"SV1018","INT1003","L01","tich_hop","","","","5.04","7.92,7.69","7.92"
"SV1018","INT1002","L01","ly_thuyet","0.59,0.59","0.59","","","",""
"SV1019","INT1003","L01","tich_hop","","","","9.41","9.41,5.95","9.41"
"SV1019","GDQP102","L01","ly_thuyet","2.99,2.99","2.99","","","",""
"SV1020","INT1003","L01","tich_hop","","","","6.46","8.22,8.13","8.22"
"SV1020","INT1001","L01","tich_hop","","","","5.76","6.1,3.49","6.1"
"SV1020","GDQP102","L01","ly_thuyet","8.53,8.53","8.53","","","",""
"SV1021","INT1003","L01","tich_hop","","","","5.35","6.95,2.95","6.95"
"SV1021","GDTC101","L01","thuc_hanh","","","1.92,8.94,1.92","","",""
"SV1021","INT1001","L01","tich_hop","","","","8.88","1.36,7.53","1.36"
"SV1021","GDQP102","L01","ly_thuyet","3.04,3.04","3.04","","","",""
"SV1022","INT1003","L01","tich_hop","","","","4.27","5.18,4.07","5.18"
"SV1022","GDQP102","L01","ly_thuyet","6.04,6.04","6.04","","","",""
"SV1023","INT1002","L01","ly_thuyet","0.96,0.96","0.96","","","",""
"SV1023","INT1001","L01","tich_hop","","","","5.11","1.53,5.87","1.53"
"SV1023","GDQP102","L01","ly_thuyet","5.55,5.55","5.55","","","",""
"SV1024","INT1003","L01","tich_hop","","","","6.46","3.39,7.36","3.39"
"SV1024","GDQP102","L01","ly_thuyet","0.84,0.84","0.84","","","",""
"SV1024","INT1001","L01","tich_hop","","","","6.1","6.55,4.26","6.55"
"SV1025","GDTC101","L01","thuc_hanh","","","3.47,1.89,3.47","","",""
